mic;symbol;isin;date;open_value;high_value;low_value;last_value;change_prev_close_percentage;turnover
XZAG;CBX;HRZB00ICBEX6;7.6.2021;1948,93;1952,99;1942,18;1942,34;-0,34;5886579,94
XZAG;CBX;HRZB00ICBEX6;4.6.2021;1952,66;1957,66;1948,93;1948,93;-0,14;8853540,05
XZAG;CBX;HRZB00ICBEX6;2.6.2021;1944,66;1951,71;1940,88;1951,71;0,36;5825924,9
XZAG;CBX;HRZB00ICBEX6;1.6.2021;1933,86;1945,33;1933,86;1944,66;0,61;2954010,58
XZAG;CBX;HRZB00ICBEX6;31.5.2021;1928,96;1933,49;1924,92;1932,84;0,22;1416578,2
XZAG;CBX;HRZB00ICBEX6;28.5.2021;1926,89;1931,36;1922,88;1928,52;0,08;3146645,29
XZAG;CBX;HRZB00ICBEX6;27.5.2021;1932,28;1935,61;1926,89;1926,89;-0,28;9450459,78
XZAG;CBX;HRZB00ICBEX6;26.5.2021;1935,39;1936,51;1929,81;1932,26;-0,16;7279939,69
XZAG;CBX;HRZB00ICBEX6;25.5.2021;1940,25;1944,01;1933,3;1935,39;-0,27;7482457,25
XZAG;CBX;HRZB00ICBEX6;24.5.2021;1943,6;1945,43;1928,21;1940,65;-0,15;6516291,15
XZAG;CBX;HRZB00ICBEX6;21.5.2021;1954,36;1959,79;1943,33;1943,6;-0,52;5308589,98
XZAG;CBX;HRZB00ICBEX6;20.5.2021;1949,16;1953,73;1945,37;1953,73;0,22;5339635,19
XZAG;CBX;HRZB00ICBEX6;19.5.2021;1951,14;1955,99;1947,99;1949,5;-0,15;7756847,32
XZAG;CBX;HRZB00ICBEX6;18.5.2021;1944,43;1957,34;1941,97;1952,48;0,49;6650079,46
XZAG;CBX;HRZB00ICBEX6;17.5.2021;1940,76;1947,06;1936,93;1942,98;0,15;8302901,28
XZAG;CBX;HRZB00ICBEX6;14.5.2021;1939,8;1949,65;1937,94;1940,04;0,12;6070953,3
XZAG;CBX;HRZB00ICBEX6;13.5.2021;1946,8;1947,75;1934,36;1937,73;-0,47;8377585,3
XZAG;CBX;HRZB00ICBEX6;12.5.2021;1950,84;1958,85;1945,98;1946,8;-0,21;9023468,48
XZAG;CBX;HRZB00ICBEX6;11.5.2021;1961,37;1962,06;1949,54;1950,84;-0,45;5316525,52
XZAG;CBX;HRZB00ICBEX6;10.5.2021;1935,53;1961,99;1935,41;1959,58;1,24;13405216,35
XZAG;CBX;HRZB00ICBEX6;7.5.2021;1932,11;1938,22;1928,62;1935,53;0,25;8452344,29
XZAG;CBX;HRZB00ICBEX6;6.5.2021;1923,98;1935,01;1923,98;1930,65;0,38;4477982,7
XZAG;CBX;HRZB00ICBEX6;5.5.2021;1917,38;1926,16;1911,22;1923,39;0,35;8676356,16
XZAG;CBX;HRZB00ICBEX6;4.5.2021;1906,42;1922,18;1906,42;1916,76;0,57;7689193,19
XZAG;CBX;HRZB00ICBEX6;3.5.2021;1893,62;1905,83;1892,47;1905,83;0,65;8434989,8
XZAG;CBX;HRZB00ICBEX6;30.4.2021;1894,08;1895,35;1888,23;1893,51;-0,03;7465605,34
XZAG;CBX;HRZB00ICBEX6;29.4.2021;1886,94;1894,66;1881,93;1894,08;0,38;9070043,24
XZAG;CBX;HRZB00ICBEX6;28.4.2021;1899,5;1899,5;1886,73;1886,94;-0,71;8148396,58
XZAG;CBX;HRZB00ICBEX6;27.4.2021;1895,29;1901,21;1890,74;1900,52;0,27;2900361,87
XZAG;CBX;HRZB00ICBEX6;26.4.2021;1888,64;1895,34;1885,11;1895,34;0,44;3371656,2
XZAG;CBX;HRZB00ICBEX6;23.4.2021;1883,7;1887,19;1881,41;1887,11;0,2;5726646,4
XZAG;CBX;HRZB00ICBEX6;22.4.2021;1877,8;1887,56;1877,8;1883,42;0,3;6468034,32
XZAG;CBX;HRZB00ICBEX6;21.4.2021;1879,74;1880,4;1876,95;1877,8;-0,09;3998775,16
XZAG;CBX;HRZB00ICBEX6;20.4.2021;1882,38;1884,14;1875,5;1879,46;-0,12;5035054,38
XZAG;CBX;HRZB00ICBEX6;19.4.2021;1878,67;1881,75;1874,06;1881,75;0,16;3167057,34
XZAG;CBX;HRZB00ICBEX6;16.4.2021;1882,17;1883,34;1876,71;1878,67;-0,19;3201986,74
XZAG;CBX;HRZB00ICBEX6;15.4.2021;1886,25;1889,23;1880,97;1882,17;-0,22;2999308,87
XZAG;CBX;HRZB00ICBEX6;14.4.2021;1887,01;1890,21;1880,58;1886,25;-0,04;5131907,98
XZAG;CBX;HRZB00ICBEX6;13.4.2021;1881,66;1888,29;1879,17;1887,01;0,26;2429049,05
XZAG;CBX;HRZB00ICBEX6;12.4.2021;1888,57;1888,59;1876,77;1882,17;-0,36;3112296,9
XZAG;CBX;HRZB00ICBEX6;9.4.2021;1886,55;1890,83;1883,11;1889,05;0,06;2702651,98
XZAG;CBX;HRZB00ICBEX6;8.4.2021;1881,26;1889,11;1878,35;1887,88;0,35;4900505,37
XZAG;CBX;HRZB00ICBEX6;7.4.2021;1875,57;1882,76;1875,57;1881,26;0,3;2477195,7
XZAG;CBX;HRZB00ICBEX6;6.4.2021;1874,8;1881,66;1872,46;1875,57;-0,05;3672194,6
XZAG;CBX;HRZB00ICBEX6;1.4.2021;1872,22;1880,43;1872,08;1876,58;0,23;3546018,8
XZAG;CBX;HRZB00ICBEX6;31.3.2021;1867,9;1877,03;1867,9;1872,22;0,23;5154722,86
XZAG;CBX;HRZB00ICBEX6;30.3.2021;1851,43;1868,08;1851,43;1867,9;0,89;4165639,57
XZAG;CBX;HRZB00ICBEX6;29.3.2021;1846,87;1857,8;1844,58;1851,43;0,18;3440294,66
XZAG;CBX;HRZB00ICBEX6;26.3.2021;1846,36;1850,81;1840,57;1848,06;0,09;5560423,64
