mic;symbol;isin;date;open_value;high_value;low_value;last_value;change_prev_close_percentage;turnover
XZAG;CBX10;HRZB00ICBE11;25.2.2021;1141,3;1145,25;1138,02;1139,07;-0,2;3942859,14
XZAG;CBX10;HRZB00ICBE11;24.2.2021;1135,97;1141,3;1135,13;1141,3;0,47;2866893,48
XZAG;CBX10;HRZB00ICBE11;23.2.2021;1137,49;1137,49;1132,83;1135,97;-0,13;2161941,98
XZAG;CBX10;HRZB00ICBE11;22.2.2021;1144,11;1149,1;1137,49;1137,49;-0,66;5515219,6
XZAG;CBX10;HRZB00ICBE11;19.2.2021;1139,74;1150,48;1138,32;1145,08;0,43;4815406,9
XZAG;CBX10;HRZB00ICBE11;18.2.2021;1139,23;1140,94;1138,86;1140,16;0,04;2048898,28
XZAG;CBX10;HRZB00ICBE11;17.2.2021;1137,01;1140,09;1133,56;1139,67;0,23;3281617,08
XZAG;CBX10;HRZB00ICBE11;16.2.2021;1130,05;1137,01;1129,94;1137,01;0,62;6046452,92
XZAG;CBX10;HRZB00ICBE11;15.2.2021;1124,79;1135,82;1124,67;1130,05;0,47;6053685,16
XZAG;CBX10;HRZB00ICBE11;12.2.2021;1119,31;1126,98;1117,1;1124,79;0,49;2165779,12
XZAG;CBX10;HRZB00ICBE11;11.2.2021;1116,74;1120,5;1115,77;1119,31;0,23;5615689,46
XZAG;CBX10;HRZB00ICBE11;10.2.2021;1113,14;1118,33;1109,36;1116,74;0,32;5744545,98
XZAG;CBX10;HRZB00ICBE11;9.2.2021;1114,98;1118,08;1110,53;1113,14;-0,17;7087507,98
XZAG;CBX10;HRZB00ICBE11;8.2.2021;1116,45;1119,19;1113,69;1114,98;-0,04;8162349,18
XZAG;CBX10;HRZB00ICBE11;5.2.2021;1116,72;1117,95;1113,42;1115,48;-0,04;1959679
XZAG;CBX10;HRZB00ICBE11;4.2.2021;1116,12;1116,58;1113,9;1115,89;-0,02;2332269,88
XZAG;CBX10;HRZB00ICBE11;3.2.2021;1121,14;1125,87;1116,12;1116,12;-0,44;3029636,84
XZAG;CBX10;HRZB00ICBE11;2.2.2021;1119,35;1122,86;1116,71;1121,04;0,05;4748507,48
XZAG;CBX10;HRZB00ICBE11;1.2.2021;1117,06;1122,59;1117,06;1120,53;0,42;2080121,4
XZAG;CBX10;HRZB00ICBE11;29.1.2021;1119,3;1119,43;1114,9;1115,88;-0,31;1740306,3
XZAG;CBX10;HRZB00ICBE11;28.1.2021;1126,68;1126,68;1115,23;1119,3;-0,58;4833230,82
XZAG;CBX10;HRZB00ICBE11;27.1.2021;1122,69;1127,15;1119,69;1125,79;0,28;3639389,88
XZAG;CBX10;HRZB00ICBE11;26.1.2021;1117,41;1123,27;1116,82;1122,6;0,47;2180856,12
XZAG;CBX10;HRZB00ICBE11;25.1.2021;1126,36;1126,47;1113,45;1117,37;-0,88;6132008,96
